user_id,profile,monthly_incomes,mean_income,income_std,income_trend,fixed_expenses,cash_flow_health_ratio,num_income_sources,total_bills,on_time_payments,avg_delay_days,recharge_regularity,recurring_payments_detected,emi_consistency_score,total_transactions,txn_regularity_score,essential_ratio,has_recurring_savings,min_balance_maintained,avg_monthly_savings,platforms,tenure_months,platform_rating,active_days_per_month,shock_recovery_score,default
USR0011,good,"[30830, 30131, 28691, 28242, 27694, 28994]",29097.0,1076.05,-484.0,8458.43,0.7093,1,17,16,1.3,0.94,3,0.84,187,0.6241,0.7826,1,1,6002,"[""Dunzo""]",20,4.9,23,1.0,0
USR0012,moderate,"[20810, 25322, 23088, 20191, 22881, 17270]",21593.67,2551.68,-797.71,9841.78,0.5442,3,15,10,6.7,0.66,2,0.64,130,0.5196,0.7056,1,0,806,"[""Uber"", ""Dunzo"", ""Zomato""]",21,4.1,15,1.0,1
USR0013,moderate,"[23203, 28786, 22402, 21332, 20109, 21932]",22960.67,2773.33,-955.89,13652.58,0.4054,2,12,7,3.6,0.59,2,0.72,136,0.5815,0.7132,0,1,1806,"[""Dunzo"", ""Uber""]",16,4.1,15,1.0,0
USR0014,moderate,"[26206, 19110, 22046, 22260, 17439, 21495]",21426.0,2744.48,-810.11,11805.3,0.449,3,13,11,4.2,0.65,1,0.78,146,0.5749,0.7586,0,0,657,"[""Uber"", ""Ola"", ""Zomato""]",11,4.3,15,1.0,0
USR0015,good,"[26259, 25067, 27147, 28358, 28275, 28341]",27241.17,1240.05,607.0,6915.99,0.7461,3,22,21,2.0,0.93,3,0.86,223,0.6862,0.7743,1,1,6824,"[""Dunzo"", ""UrbanClap"", ""Ola""]",47,4.5,26,1.0,0
USR0016,moderate,"[14409, 16679, 16502, 17187, 15549, 16971]",16216.17,959.09,288.71,10140.97,0.3746,3,12,8,6.2,0.75,2,0.66,132,0.6636,0.7319,1,0,971,"[""Zomato"", ""Uber"", ""Ola""]",21,3.8,15,1.0,0
USR0017,good,"[44022, 41102, 42710, 40782, 36308, 38006]",40488.33,2630.67,-1325.43,13403.38,0.669,3,15,13,0.4,0.98,3,0.95,237,0.6409,0.7649,1,1,7922,"[""Ola"", ""Dunzo"", ""Uber""]",28,4.6,22,1.0,0
USR0018,good,"[27623, 24360, 27666, 27976, 28409, 26581]",27102.5,1344.85,207.06,7619.31,0.7189,1,17,15,0.2,0.88,2,0.83,194,0.665,0.7992,1,1,4419,"[""Dunzo""]",25,5.0,25,1.0,0
USR0019,moderate,"[16874, 12108, 18061, 12688, 17835, 19991]",16259.5,2887.32,782.66,9450.47,0.4188,1,20,16,4.8,0.59,2,0.52,136,0.6129,0.7407,1,1,768,"[""Ola""]",19,4.1,17,1.0,0
USR0020,good,"[25955, 24743, 25238, 22965, 25441, 23961]",24717.17,997.49,-289.97,7652.33,0.6904,3,12,10,2.0,0.94,3,1.0,205,0.5702,0.7263,1,1,4228,"[""UrbanClap"", ""Swiggy"", ""Dunzo""]",21,4.5,26,1.0,0
USR0021,moderate,"[15778, 20446, 18546, 17795, 21094, 16313]",18328.67,1959.21,110.51,10171.94,0.445,1,18,14,5.4,0.52,2,0.74,112,0.4322,0.7692,1,1,1293,"[""Swiggy""]",23,4.1,24,1.0,1
USR0022,good,"[27908, 29568, 28927, 29897, 30294, 29204]",29299.67,764.01,275.09,11971.89,0.5914,2,13,12,0.0,0.92,2,0.99,205,0.6239,0.7488,1,1,7088,"[""Uber"", ""Swiggy""]",47,4.5,29,1.0,0
USR0023,risky,"[18388, 3809, 15694, 17785, 12788, 15976]",14073.33,4926.94,484.8,9028.02,0.3585,1,17,8,12.8,0.43,0,0.38,81,0.3509,0.688,0,0,222,"[""Dunzo""]",7,3.6,7,0.5,0
USR0024,good,"[26845, 24135, 23071, 25659, 27034, 25691]",25405.83,1410.32,157.57,11048.06,0.5651,1,19,18,0.9,0.86,4,0.92,208,0.5927,0.8013,1,1,3519,"[""Ola""]",43,4.8,23,1.0,0
USR0025,risky,"[17048, 10397, 8565, 10676, 12024, 10935]",11607.5,2639.9,-673.51,9586.52,0.1741,1,21,7,14.7,0.27,0,0.42,79,0.4962,0.74,0,0,419,"[""Dunzo""]",8,3.8,13,0.1667,1
USR0026,good,"[43480, 40917, 43280, 43716, 42930, 44166]",43081.5,1039.63,283.0,18039.54,0.5813,3,20,17,1.2,0.89,4,0.98,243,0.5986,0.6769,1,1,4526,"[""Uber"", ""UrbanClap"", ""Dunzo""]",17,4.5,28,1.0,0
USR0027,moderate,"[28874, 24432, 17904, 27323, 31302, 24907]",25790.33,4224.06,291.26,10921.97,0.5765,2,19,11,7.0,0.69,2,0.79,124,0.5754,0.7041,1,0,1449,"[""Swiggy"", ""Uber""]",12,4.0,19,1.0,0
USR0028,good,"[20252, 19563, 22634, 20142, 21345, 22348]",21047.33,1151.32,380.97,6071.5,0.7115,3,23,21,0.5,0.98,4,0.88,222,0.6847,0.7303,1,1,5168,"[""Uber"", ""UrbanClap"", ""Ola""]",42,4.4,29,1.0,0
USR0029,risky,"[9095, 16932, 14309, 17941, 9307, 13937]",13586.83,3398.2,141.91,9470.12,0.303,1,19,10,13.6,0.32,0,0.35,80,0.5699,0.7181,0,0,247,"[""Dunzo""]",6,3.0,12,0.6667,0
USR0030,moderate,"[15659, 11260, 13685, 18505, 13994, 16547]",14941.67,2302.93,498.91,7040.92,0.5288,2,16,13,2.8,0.77,1,0.75,131,0.4593,0.7996,0,0,1342,"[""UrbanClap"", ""Zomato""]",18,3.8,17,1.0,0
USR0031,good,"[40143, 31622, 34051, 32150, 33858, 38529]",35058.83,3178.62,-93.23,12191.26,0.6523,2,14,13,0.5,0.91,2,0.91,209,0.6135,0.7507,1,1,4985,"[""Dunzo"", ""Uber""]",45,4.4,22,1.0,0
USR0032,moderate,"[23639, 19621, 22440, 20783, 21446, 22702]",21771.83,1323.38,-24.77,12289.23,0.4355,3,15,12,6.9,0.56,2,0.66,129,0.6215,0.8108,0,0,2042,"[""Uber"", ""Zomato"", ""Dunzo""]",22,4.3,21,1.0,0
USR0033,good,"[35435, 32089, 29033, 29042, 31640, 30929]",31361.33,2167.54,-681.94,12064.64,0.6153,2,16,15,0.7,0.83,2,0.83,186,0.6763,0.7734,1,1,7083,"[""Swiggy"", ""Zomato""]",23,4.8,28,1.0,0
USR0034,moderate,"[23625, 24427, 19358, 24571, 22774, 24902]",23276.17,1887.25,189.69,10414.03,0.5526,3,21,17,5.5,0.75,2,0.68,128,0.5256,0.7112,1,0,1789,"[""UrbanClap"", ""Uber"", ""Dunzo""]",23,4.2,21,1.0,0
USR0035,good,"[30660, 30049, 33995, 32391, 33538, 29572]",31700.83,1705.8,97.8,13626.79,0.5701,3,12,11,1.4,0.99,2,0.96,189,0.6618,0.7319,1,1,4646,"[""Dunzo"", ""Swiggy"", ""UrbanClap""]",45,4.8,25,1.0,0
USR0036,good,"[18584, 19036, 19069, 18908, 19226, 17702]",18754.17,510.04,-114.31,7488.39,0.6007,2,23,19,1.2,0.86,2,0.89,221,0.6319,0.7658,1,1,2209,"[""Ola"", ""Uber""]",35,4.8,27,1.0,0
USR0037,moderate,"[29443, 29557, 28851, 25391, 23881, 23006]",26688.17,2696.24,-1504.94,11097.1,0.5842,3,14,9,2.8,0.55,2,0.51,124,0.5754,0.6789,1,1,954,"[""Dunzo"", ""Zomato"", ""UrbanClap""]",16,4.1,16,1.0,1
USR0038,good,"[36061, 35456, 38482, 36931, 33138, 38620]",36448.0,1878.74,122.57,9696.83,0.734,1,22,19,1.9,0.94,4,0.89,193,0.6355,0.6788,1,1,3389,"[""Zomato""]",31,4.5,27,1.0,0
USR0039,risky,"[11532, 9069, 2981, 7827, 11325, 10702]",8906.0,2951.54,213.26,5399.34,0.3937,1,15,7,14.2,0.43,0,0.18,77,0.3845,0.7633,0,0,57,"[""UrbanClap""]",2,4.0,12,0.5,0
USR0040,good,"[36392, 33661, 34059, 36657, 35598, 37350]",35619.5,1350.26,377.11,15240.09,0.5721,3,17,16,0.6,0.82,3,0.94,214,0.598,0.6707,1,1,4005,"[""Dunzo"", ""UrbanClap"", ""Ola""]",30,5.0,26,1.0,0
USR0041,good,"[40425, 39161, 38991, 37578, 39417, 40131]",39283.83,917.28,-60.43,13487.29,0.6567,3,14,12,0.7,0.96,3,0.94,202,0.5771,0.7224,1,1,7825,"[""Zomato"", ""UrbanClap"", ""Uber""]",23,4.5,26,1.0,0
USR0042,good,"[20541, 18584, 21324, 18451, 20773, 18355]",19671.33,1231.9,-206.74,6002.69,0.6949,3,21,20,1.8,0.99,2,0.9,189,0.4959,0.696,1,1,4702,"[""Dunzo"", ""UrbanClap"", ""Zomato""]",26,4.7,25,1.0,0
USR0043,risky,"[9596, 10738, 10749, 15049, 15013, 12416]",12260.17,2124.4,892.14,8606.95,0.298,1,15,7,6.5,0.33,0,0.45,81,0.6167,0.7657,0,0,226,"[""Ola""]",6,3.7,12,1.0,1
USR0044,good,"[39017, 37754, 36724, 38370, 37806, 35433]",37517.33,1161.12,-460.51,16319.1,0.565,3,14,13,2.0,0.95,2,0.84,223,0.6024,0.7315,1,1,5864,"[""Ola"", ""UrbanClap"", ""Dunzo""]",47,4.9,27,1.0,0
USR0045,good,"[22328, 20843, 22639, 21241, 20106, 19951]",21184.67,1018.8,-442.69,8480.67,0.5997,2,23,22,1.9,0.97,3,0.86,186,0.5688,0.7242,1,1,4568,"[""UrbanClap"", ""Ola""]",40,4.8,22,1.0,0
USR0046,good,"[26377, 27813, 27269, 29337, 24886, 26002]",26947.33,1416.06,-245.37,10900.21,0.5955,3,18,17,0.4,0.98,2,0.97,212,0.5894,0.7942,1,1,3617,"[""Ola"", ""Uber"", ""UrbanClap""]",24,4.4,24,1.0,0
USR0047,risky,"[18492, 11816, 10222, 19342, 22533, 16455]",16476.67,4277.73,888.17,10603.57,0.3564,1,17,8,5.5,0.32,0,0.35,79,0.4338,0.7439,0,0,88,"[""Uber""]",8,3.1,5,0.5,0
USR0048,risky,"[12264, 4533, 19229, 22962, 8787, 18191]",14327.67,6382.18,1318.0,9453.67,0.3402,1,23,13,8.4,0.23,0,0.19,72,0.5058,0.735,0,0,427,"[""Dunzo""]",1,3.2,16,0.6667,0
USR0049,good,"[30926, 30796, 29984, 31110, 30947, 30093]",30642.67,437.95,-73.89,10470.3,0.6583,3,15,14,1.4,0.91,4,0.86,209,0.6373,0.7374,1,1,7527,"[""UrbanClap"", ""Zomato"", ""Ola""]",12,5.0,22,1.0,0
USR0050,good,"[18805, 19092, 17605, 19638, 17694, 17604]",18406.33,810.28,-233.31,7173.82,0.6103,2,18,17,1.3,0.85,4,0.85,210,0.6367,0.8043,1,1,6989,"[""Uber"", ""Zomato""]",44,4.8,23,1.0,0
USR0051,moderate,"[29311, 31121, 30800, 27513, 32796, 28128]",29944.83,1819.35,-119.34,13929.42,0.5348,1,21,12,4.4,0.76,1,0.64,134,0.4932,0.7252,1,0,1487,"[""Ola""]",21,4.1,24,1.0,0
USR0052,risky,"[22901, 19431, 20914, 20928, 25389, 14460]",20670.5,3353.4,-694.77,14941.24,0.2772,1,17,5,8.7,0.3,0,0.25,77,0.5462,0.7728,0,0,16,"[""Dunzo""]",6,4.0,15,0.8333,1
USR0053,good,"[34697, 33296, 35901, 34172, 32919, 39082]",35011.17,2060.96,544.71,12602.22,0.6401,1,18,17,1.9,0.96,4,0.98,221,0.7304,0.7633,1,1,2479,"[""Ola""]",46,4.5,29,1.0,0
USR0054,risky,"[8332, 11839, 17883, 11135, 13989, 15160]",13056.33,3057.36,966.91,8029.36,0.385,1,15,5,8.2,0.48,0,0.4,84,0.6153,0.7526,0,0,115,"[""Dunzo""]",5,4.0,8,0.5,1
USR0055,risky,"[16342, 12862, 7587, 7348, 9825, 15201]",11527.5,3520.16,-430.14,8825.15,0.2344,1,17,8,14.0,0.38,0,0.25,90,0.5556,0.793,0,0,57,"[""Uber""]",2,3.3,16,0.3333,1
USR0056,good,"[40780, 39860, 44747, 40151, 43094, 39896]",41421.33,1855.05,19.6,13195.71,0.6814,2,19,18,1.4,0.83,2,0.85,188,0.5571,0.7521,1,1,6915,"[""Zomato"", ""UrbanClap""]",44,4.5,22,1.0,0
USR0057,risky,"[23085, 27374, 18043, 22622, 16122, 25468]",22119.0,3928.42,-493.2,17907.24,0.1904,1,16,6,11.8,0.25,0,0.14,92,0.6587,0.7653,0,0,332,"[""Zomato""]",9,3.1,15,0.3333,1
USR0058,good,"[20161, 19759, 19070, 20573, 21756, 18462]",19963.5,1058.16,-28.6,6105.62,0.6942,2,23,21,1.5,0.97,2,0.96,216,0.6067,0.7753,1,1,5263,"[""Zomato"", ""Dunzo""]",47,4.3,29,1.0,0
USR0059,good,"[35715, 36033, 35971, 35929, 32213, 31027]",34481.33,2054.35,-998.34,10648.33,0.6912,1,15,14,1.2,0.98,3,0.87,207,0.5346,0.7314,1,1,7323,"[""Uber""]",21,4.9,25,1.0,0
USR0060,moderate,"[20498, 31466, 32119, 33918, 33582, 39684]",31877.83,5740.66,2973.63,19511.12,0.3879,3,20,13,5.2,0.73,1,0.78,116,0.6008,0.7733,1,1,2795,"[""Dunzo"", ""UrbanClap"", ""Uber""]",23,3.9,24,1.0,0
USR0061,risky,"[21105, 8357, 14185, 12511, 16254, 14826]",14539.67,3842.55,-267.94,11911.68,0.1807,1,21,6,12.8,0.27,0,0.21,80,0.3022,0.7418,0,0,112,"[""Zomato""]",6,3.7,15,0.1667,0
USR0062,moderate,"[27563, 29027, 30669, 24037, 22013, 26477]",26631.0,2915.29,-945.83,16541.19,0.3789,3,18,15,2.6,0.65,1,0.76,138,0.6583,0.7645,1,0,1552,"[""Uber"", ""Ola"", ""UrbanClap""]",19,4.2,18,1.0,1
USR0063,risky,"[13493, 7592, 8600, 13375, 8772, 14848]",11113.33,2855.53,431.14,7454.05,0.3293,1,19,6,12.0,0.24,0,0.14,87,0.4506,0.7411,0,0,425,"[""Dunzo""]",4,3.9,16,0.5,1
USR0064,good,"[29034, 28945, 32071, 32993, 30013, 28095]",30191.83,1765.49,-16.26,9352.6,0.6902,3,20,18,0.4,0.99,2,0.88,223,0.737,0.7526,1,1,6896,"[""Ola"", ""Dunzo"", ""Swiggy""]",44,4.6,22,1.0,0
USR0065,good,"[35771, 34157, 34238, 34202, 31276, 33767]",33901.83,1333.87,-534.26,9480.53,0.7204,1,21,20,1.7,0.81,2,0.99,196,0.5612,0.7802,1,1,7571,"[""Zomato""]",16,4.6,24,1.0,0
USR0066,good,"[35459, 33516, 33345, 31850, 33297, 33825]",33548.67,1058.07,-294.91,11876.85,0.646,1,14,13,0.7,0.83,3,0.86,198,0.6231,0.7541,1,1,5754,"[""Swiggy""]",33,4.6,28,1.0,0
USR0067,moderate,"[21638, 29530, 31333, 21518, 20536, 23279]",24639.0,4206.39,-816.91,15226.3,0.382,2,16,9,4.9,0.8,1,0.66,137,0.6295,0.7438,0,1,771,"[""Swiggy"", ""UrbanClap""]",16,4.4,23,0.5,0
USR0068,risky,"[9679, 14302, 14180, 28720, 26229, 21325]",19072.5,6883.5,3101.46,15379.89,0.1936,1,14,4,12.6,0.33,0,0.37,98,0.5818,0.8379,0,0,70,"[""Zomato""]",6,3.8,10,1.0,1
USR0069,good,"[28662, 30431, 27060, 30727, 31315, 29067]",29543.67,1443.28,238.4,8851.92,0.7004,1,18,15,0.3,0.95,3,0.92,204,0.5792,0.7155,1,1,3647,"[""Zomato""]",31,4.9,29,1.0,0
USR0070,moderate,"[13603, 11169, 10494, 11194, 10269, 13843]",11762.0,1427.76,-22.86,6132.55,0.4786,3,13,8,5.8,0.54,1,0.61,132,0.5915,0.7728,1,0,1803,"[""Uber"", ""Swiggy"", ""UrbanClap""]",12,4.0,22,1.0,1
USR0071,moderate,"[11971, 15398, 12647, 10776, 13162, 11985]",12656.5,1427.62,-243.11,6686.45,0.4717,2,20,14,6.2,0.55,2,0.62,138,0.606,0.7283,1,1,950,"[""Dunzo"", ""Zomato""]",22,4.3,15,1.0,0
USR0072,good,"[18534, 18981, 18532, 19153, 19878, 18711]",18964.83,466.71,119.91,7482.11,0.6055,2,13,12,0.8,0.85,2,0.93,190,0.6547,0.7721,1,1,7400,"[""Ola"", ""Dunzo""]",32,4.8,27,1.0,0
USR0073,moderate,"[19001, 17557, 14714, 14136, 17867, 14672]",16324.5,1878.65,-608.37,6881.3,0.5785,1,15,9,4.9,0.63,2,0.75,130,0.5893,0.7792,1,1,1447,"[""Uber""]",21,3.9,22,1.0,0
USR0074,moderate,"[21624, 20040, 14103, 19828, 19806, 19532]",19155.5,2360.11,-155.34,11341.41,0.4079,2,16,9,2.5,0.74,2,0.57,137,0.5837,0.7548,1,0,2733,"[""Dunzo"", ""Swiggy""]",10,4.1,20,1.0,0
USR0075,good,"[40002, 39900, 38274, 40061, 37926, 40080]",39373.83,908.13,-107.0,16973.38,0.5689,3,16,14,1.1,0.94,4,1.0,212,0.7328,0.7672,1,1,7128,"[""Dunzo"", ""Ola"", ""Uber""]",27,4.6,24,1.0,0
USR0076,moderate,"[12542, 16666, 15263, 10515, 15118, 15482]",14264.33,2081.7,151.66,7576.67,0.4688,1,12,8,6.4,0.66,2,0.52,119,0.6159,0.7325,1,1,2452,"[""Ola""]",23,4.3,21,0.6667,0
USR0077,risky,"[18059, 21606, 14228, 26222, 13370, 15280]",18127.5,4538.24,-760.26,14596.87,0.1948,1,16,9,7.9,0.5,0,0.27,86,0.4516,0.7777,0,0,163,"[""Swiggy""]",5,3.1,12,0.6667,0
USR0078,moderate,"[11486, 10670, 14606, 14196, 15750, 15329]",13672.83,1914.91,972.71,8035.45,0.4123,2,16,10,7.0,0.66,1,0.54,130,0.5359,0.7584,1,0,1636,"[""Dunzo"", ""Zomato""]",21,4.4,22,1.0,0
USR0079,moderate,"[29796, 27711, 22969, 26392, 25870, 25005]",26290.5,2128.31,-744.43,15462.26,0.4119,3,22,17,6.1,0.6,2,0.62,145,0.6809,0.8214,1,0,637,"[""UrbanClap"", ""Dunzo"", ""Zomato""]",19,4.1,23,1.0,0
USR0080,moderate,"[24988, 28723, 33410, 26848, 33547, 26039]",28925.83,3407.39,376.14,17153.11,0.407,2,23,16,6.1,0.51,2,0.51,151,0.5852,0.7315,1,0,1607,"[""Swiggy"", ""Dunzo""]",23,4.1,22,1.0,1
USR0081,moderate,"[23048, 21085, 19065, 15454, 22220, 20660]",20255.33,2482.63,-347.03,8182.32,0.596,2,18,12,4.4,0.58,1,0.61,123,0.5253,0.7987,1,1,2248,"[""Swiggy"", ""Dunzo""]",19,4.5,15,1.0,1
USR0082,risky,"[21658, 14715, 19944, 17000, 29257, 24645]",21203.17,4800.45,1589.06,15402.34,0.2736,1,14,4,10.3,0.35,0,0.39,80,0.4084,0.8104,0,0,148,"[""Uber""]",10,3.1,13,0.6667,0
USR0083,moderate,"[14604, 19355, 17937, 17507, 18255, 17497]",17525.83,1448.27,306.71,10565.27,0.3972,3,12,8,5.1,0.54,2,0.56,128,0.5289,0.7362,0,1,2102,"[""Zomato"", ""UrbanClap"", ""Dunzo""]",9,4.1,17,1.0,0
USR0084,good,"[31384, 31659, 34988, 30556, 32971, 33163]",32453.5,1447.44,239.97,13173.54,0.5941,3,22,19,1.5,0.88,3,0.85,215,0.6505,0.7105,1,1,2226,"[""Swiggy"", ""Ola"", ""Uber""]",27,4.6,22,1.0,0
USR0085,moderate,"[21934, 27781, 18402, 26267, 24578, 20140]",23183.67,3323.56,-306.11,11883.51,0.4874,1,16,13,4.1,0.72,2,0.71,122,0.4558,0.8095,1,0,1988,"[""Uber""]",12,4.3,15,0.6667,0
USR0086,moderate,"[10746, 12318, 12188, 13806, 14330, 11230]",12436.33,1281.28,287.83,7458.22,0.4003,2,12,7,6.9,0.54,1,0.74,115,0.4317,0.7509,1,1,1893,"[""Uber"", ""Dunzo""]",14,4.2,18,1.0,0
USR0087,good,"[26720, 28751, 26838, 28831, 30589, 27717]",28241.0,1334.02,356.91,11347.68,0.5982,1,23,22,1.1,0.87,4,0.83,205,0.5084,0.7785,1,1,4957,"[""Dunzo""]",46,4.5,29,1.0,0
USR0088,risky,"[22266, 16680, 15603, 16456, 8283, 22880]",17028.0,4841.43,-607.66,11054.38,0.3508,1,13,5,7.5,0.34,0,0.33,64,0.5854,0.7053,0,0,426,"[""Ola""]",11,3.4,9,0.6667,1
USR0089,risky,"[13733, 15582, 14784, 14141, 17503, 13755]",14916.33,1322.98,149.43,10969.83,0.2646,1,19,10,6.9,0.37,0,0.42,61,0.2958,0.6119,0,0,182,"[""Ola""]",7,3.3,8,1.0,1
USR0090,risky,"[14630, 18469, 17982, 13963, 19824, 11430]",16049.67,2930.97,-455.83,12747.6,0.2057,1,14,4,7.8,0.48,0,0.13,94,0.5863,0.8195,0,0,168,"[""UrbanClap""]",5,3.4,17,0.8333,1
USR0091,moderate,"[18629, 22864, 18963, 24183, 19920, 21249]",20968.0,2024.81,271.09,12758.52,0.3915,3,20,13,5.6,0.65,1,0.61,133,0.5789,0.8223,1,0,1232,"[""Uber"", ""UrbanClap"", ""Zomato""]",14,4.3,21,1.0,1
USR0092,good,"[30755, 33068, 34930, 31112, 29791, 30425]",31680.17,1770.62,-437.11,12730.8,0.5981,1,23,22,0.9,0.94,2,0.83,208,0.6464,0.7248,1,1,3307,"[""Dunzo""]",33,4.3,29,1.0,0
USR0093,moderate,"[19270, 17799, 24496, 19498, 22011, 13812]",19481.0,3330.73,-561.49,9880.43,0.4928,3,14,11,6.0,0.55,1,0.56,125,0.3397,0.753,1,1,2377,"[""Ola"", ""Zomato"", ""Swiggy""]",15,4.2,20,0.8333,0
USR0094,risky,"[16614, 12085, 21752, 11269, 13669, 6978]",13727.83,4601.19,-1540.31,9120.95,0.3356,1,13,6,12.9,0.34,0,0.41,98,0.443,0.7552,0,0,174,"[""UrbanClap""]",6,3.7,6,0.5,1
USR0095,risky,"[14815, 17878, 23700, 13080, 22620, 16194]",18047.83,3904.01,300.03,14993.37,0.1692,1,18,11,7.2,0.42,0,0.46,89,0.543,0.756,0,0,220,"[""Dunzo""]",7,3.2,6,0.6667,0
USR0096,moderate,"[16111, 18976, 21382, 16468, 15695, 17601]",17705.5,1968.83,-208.77,9409.05,0.4686,2,14,10,3.3,0.59,1,0.6,124,0.5421,0.7862,0,0,1551,"[""Swiggy"", ""Zomato""]",14,4.2,18,1.0,0
USR0097,good,"[36679, 36977, 36135, 38946, 39568, 36564]",37478.17,1294.32,285.97,9800.4,0.7385,3,14,12,0.2,0.91,2,0.9,180,0.6159,0.7575,1,1,4666,"[""Ola"", ""Swiggy"", ""UrbanClap""]",25,4.9,29,1.0,0
USR0098,good,"[30188, 30041, 28612, 27194, 28851, 29856]",29123.67,1046.45,-189.94,11790.26,0.5952,3,21,19,0.1,0.98,4,0.94,222,0.6468,0.7379,1,1,4058,"[""Swiggy"", ""UrbanClap"", ""Ola""]",14,4.5,25,1.0,0
USR0099,moderate,"[17838, 16370, 17357, 18646, 14786, 13884]",16480.17,1679.57,-663.8,10021.97,0.3919,2,19,16,5.1,0.69,2,0.53,126,0.5846,0.7738,1,1,1088,"[""Dunzo"", ""UrbanClap""]",17,3.9,24,1.0,0
USR0100,moderate,"[28135, 29092, 19192, 23584, 28528, 30903]",26572.33,3974.28,472.57,15454.09,0.4184,3,23,19,2.3,0.79,1,0.59,137,0.6295,0.7255,0,1,2350,"[""UrbanClap"", ""Dunzo"", ""Zomato""]",6,4.1,19,0.5,0
USR0101,risky,"[11410, 17804, 15094, 18205, 13979, 11282]",14629.0,2740.79,-257.26,10977.77,0.2496,1,17,5,12.0,0.26,0,0.16,95,0.5234,0.7738,0,0,51,"[""Zomato""]",5,3.9,16,1.0,1
USR0102,moderate,"[21988, 23693, 25714, 24666, 21961, 32112]",25022.33,3445.16,1267.89,10531.22,0.5791,1,19,14,3.0,0.51,2,0.77,126,0.5469,0.743,1,1,1732,"[""Dunzo""]",12,3.8,22,1.0,0
USR0103,moderate,"[32417, 26158, 23180, 33223, 28618, 36236]",29972.0,4440.27,1043.37,13404.78,0.5528,2,23,17,5.6,0.58,1,0.76,126,0.6519,0.731,0,1,1745,"[""UrbanClap"", ""Uber""]",17,3.9,24,1.0,0
USR0104,good,"[34593, 36741, 31402, 33082, 37982, 30685]",34080.83,2654.03,-403.91,10263.0,0.6989,1,23,21,1.1,0.96,4,0.81,187,0.5688,0.7611,1,1,5750,"[""Swiggy""]",42,4.5,24,1.0,0
USR0105,good,"[29358, 29334, 27442, 26160, 28511, 26930]",27955.83,1205.2,-454.03,8525.6,0.695,1,17,14,1.6,0.82,2,1.0,211,0.7094,0.7148,1,1,6373,"[""Dunzo""]",14,4.5,26,1.0,0
